NACA 4624
 1.00000     0.00252
 0.97927     0.01230
 0.94287     0.02862
 0.89780     0.04733
 0.84691     0.06654
 0.79199     0.08501
 0.73438     0.10191
 0.67512     0.11662
 0.61510     0.12869
 0.55507     0.13808
 0.49571     0.14521
 0.43759     0.14992
 0.38128     0.15203
 0.32727     0.15144
 0.27602     0.14811
 0.22796     0.14205
 0.18350     0.13336
 0.14303     0.12223
 0.10691     0.10889
 0.07549     0.09364
 0.04909     0.07682
 0.02805     0.05875
 0.01265     0.03977
 0.00321     0.02012
 0.00000     0.00000
 0.00321    -0.01927
 0.01265    -0.03643
 0.02805    -0.05145
 0.04909    -0.06426
 0.07549    -0.07478
 0.10691    -0.08292
 0.14303    -0.08863
 0.18350    -0.09191
 0.22796    -0.09281
 0.27602    -0.09143
 0.32727    -0.08797
 0.38128    -0.08266
 0.43759    -0.07578
 0.49571    -0.06763
 0.55507    -0.05852
 0.61510    -0.04881
 0.67512    -0.03944
 0.73438    -0.03094
 0.79199    -0.02344
 0.84691    -0.01702
 0.89780    -0.01167
 0.94287    -0.00740
 0.97927    -0.00423
 1.00000    -0.00252
